ParticipantID;Maptype;Treatment;Map1;Map2;Map3;Map4;Mean;Median
1;Satellite;Pre;0.257425743;0.230028874;0.52020202;0.457831325;0.366371991;0.357628534
1;Satellite;Post;0.089108911;0.133782483;0.262626263;0.060240964;0.136439655;0.111445697
2;Satellite;Pre;0.98019802;0.87680462;0.305555556;0.144578313;0.576784127;0.591180088
2;Satellite;Post;0.455445545;0.422521655;0.053030303;0.301204819;0.308050581;0.361863237
3;Satellite;Pre;0.633663366;0.412897016;0.545454545;0.361445783;0.488365178;0.479175781
3;Satellite;Post;0.217821782;0.027911453;0.015151515;0.180722892;0.110401911;0.104317173
8;Satellite;Pre;0.435643564;0.133782483;0.154040404;0.831325301;0.388697938;0.294841984
8;Satellite;Post;0.089108911;0.029836381;0.111111111;0.21686747;0.111730968;0.100110011
9;Satellite;Pre;0.089108911;0.010587103;0.073232323;0.204819277;0.094436904;0.081170617
9;Satellite;Post;0.00990099;0.029836381;0.161616162;0.120481928;0.080458865;0.075159155
11;Satellite;Pre;0.089108911;0.230028874;0.053030303;0.096385542;0.117138408;0.092747227
11;Satellite;Post;0.034653465;0.010587103;0.053030303;0.036144578;0.033603862;0.035399022
13;Satellite;Pre;0.178217822;0.085659288;0.734848485;0.578313253;0.394259712;0.378265538
13;Satellite;Post;0.326732673;0.549566891;0.414141414;0.301204819;0.397911449;0.370437044
15;Satellite;Pre;2.069306931;1.213666987;1.525252525;2.13253012;1.735189141;1.797279728
15;Satellite;Post;0.287128713;0.539942252;0.262626263;0.036144578;0.281460452;0.274877488
17;Satellite;Pre;0.554455446;0.69201155;0.621212121;0.156626506;0.506076406;0.587833784
17;Satellite;Post;0.00990099;0.058710298;0.262626263;0.036144578;0.091845532;0.047427438
19;Satellite;Pre;1.277227723;0.37439846;0.199494949;0.445783133;0.574226066;0.410090797
19;Satellite;Post;0.089108911;0.085659288;0.073232323;0.21686747;0.116216998;0.0873841
20;Satellite;Pre;0.455445545;0.25120308;0.136363636;0.204819277;0.261957885;0.228011179
20;Satellite;Post;0.237623762;0.058710298;0.136363636;0.144578313;0.144319002;0.140470975
4;Outline;Pre;0.782178218;1.021174206;0.136363636;1.168674699;0.77709769;0.901676212
4;Outline;Post;0.217821782;0.25120308;0.388888889;0.024096386;0.220502534;0.234512431
5;Outline;Pre;0.603960396;0.542829644;0.267676768;0.602409639;0.504219112;0.572619642
5;Outline;Post;0.336633663;0.201154957;0.111111111;0.024096386;0.168249029;0.156133034
6;Outline;Pre;0.188118812;0.443695861;0.136363636;0.096385542;0.216140963;0.162241224
6;Outline;Post;0.089108911;0.085659288;0.262626263;0.156626506;0.148505242;0.122867709
7;Outline;Pre;0.544554455;0.615014437;0.558080808;0.21686747;0.483629293;0.551317632
7;Outline;Post;0.207920792;0.278152069;0.053030303;0.060240964;0.149836032;0.134080878
10;Outline;Pre;0.554455446;0.518768046;0.393939394;0.277108434;0.43606783;0.45635372
10;Outline;Post;0.00990099;0.25120308;0.199494949;0.036144578;0.124185899;0.117819764
12;Outline;Pre;0.900990099;0.278152069;0.494949495;0.698795181;0.593221711;0.596872338
12;Outline;Post;0.00990099;0.422521655;0.368686869;0.096385542;0.224373764;0.232536206
14;Outline;Pre;0.702970297;0.518768046;0.684343434;0.759036145;0.666279481;0.693656866
14;Outline;Post;0.108910891;0.037536092;0.01010101;0.156626506;0.078293625;0.073223492
16;Outline;Pre;0.306930693;0.364773821;0.035353535;0.397590361;0.276162103;0.335852257
16;Outline;Post;0.00990099;0.230028874;0.287878788;0.096385542;0.156048549;0.163207208
18;Outline;Pre;2.267326733;1.406159769;1.525252525;2.614457831;1.953299215;1.896289629
18;Outline;Post;0.089108911;0.037536092;0.136363636;0.036144578;0.074788304;0.063322502
21;Outline;Pre;4.072277228;0.07892204;0.279040404;0.121686747;1.137981605;0.200363576
21;Outline;Post;0.032673267;0.197305101;0.132575758;0.014457831;0.094252989;0.082624513